Counterparty,Rating,CDS_BPS,EPE_CR,EE_1Y_CR,PFE95_1Y_CR,EE_5Y_CR,PFE95_5Y_CR,CVA_CR,DVA_CR,CS01_CR,IR01_CR,FCA_CR,FBA_CR,FVA_CR,MVA_CR,KVA_CR,EAD_CR,RWA_CR,Capital_CR,XVA_Total_CR
HDFC,AA,60.0,0.0534,0.0738,0.0007,0.0,0.0,0.0019,0.0894,3.1e-05,-0.0,-0.0016,0.1097,0.1081,0.0,0.0909,12.1335,2.4267,0.2548,0.2009
SBI,AAA,50.0,29.8053,30.9556,37.7706,32.9516,42.3377,0.8472,0.0001,0.016484,-0.000262,-0.8662,0.0001,-0.8661,0.0001,2.8053,121.6579,24.3316,2.5548,2.7865
ICICI,AA,80.0,11.3978,13.2455,25.4764,11.3116,22.165,0.4731,0.0042,0.005694,-0.000126,-0.3194,0.0055,-0.3139,0.0,0.7087,105.5188,21.1038,2.2159,0.868
Kotak,AA,85.0,0.0625,0.0572,0.4467,0.0,0.0,0.001,0.0104,1.1e-05,-0.0,-0.0007,0.0154,0.0147,0.0,0.0085,2.808,0.5616,0.059,0.0242
Reliance,A,150.0,0.3888,1.5879,4.9091,0.0,0.0,0.0567,0.0033,0.000369,-5e-06,-0.0451,0.0096,-0.0355,0.0,0.0859,10.2595,5.1298,0.5386,0.107
TATA,AA,100.0,0.0234,0.0498,0.0,0.0,0.0,0.0043,0.0856,4.1e-05,-1e-06,-0.0038,0.1868,0.183,0.0,0.1834,8.9055,4.4528,0.4675,0.3707
NBFC_X,BBB,300.0,0.1287,0.1409,0.7053,0.0,0.0,0.0043,0.0028,1.4e-05,-0.0,-0.0035,0.017,0.0134,0.0,0.0252,2.3279,1.7459,0.1833,0.0429
