Counterparty,Rating,CDS_BPS,EPE_CR,EE_1Y_CR,PFE95_1Y_CR,EE_5Y_CR,PFE95_5Y_CR,CVA_CR,DVA_CR,CS01_CR,IR01_CR,FCA_CR,FBA_CR,FVA_CR,MVA_CR,KVA_CR,EAD_CR,RWA_CR,Capital_CR,Basis_BPS,XVA_Total_CR
HDFC,AA,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243,0.0,0.0,-0.0,0.2975,0.2975,0.0,0.0897,15.2213,3.0443,0.3196,-346.08,0.3872
SBI,AAA,50.0,51.044,52.1324,52.7777,47.4123,49.6629,1.3257,0.0,0.025816,-0.000397,-1.3484,0.0,-1.3484,0.0001,3.2038,138.2553,27.6511,2.9034,-346.08,3.1812
ICICI,AA,80.0,27.7263,28.4615,28.8452,22.7852,23.5541,0.9337,0.0,0.011246,-0.000245,-0.6305,0.0,-0.6305,0.0,0.9192,110.8677,22.1735,2.3282,-346.08,1.2224
Kotak,AA,85.0,2.1231,0.0,0.0,0.0,0.0,0.0261,0.0006,0.000306,-1e-06,-0.0184,0.0009,-0.0175,0.0,0.019,21.4008,4.2802,0.4494,-346.08,0.0276
Reliance,A,150.0,0.4263,0.1054,0.1151,0.0,0.0,0.0769,0.007,0.000509,-3e-06,-0.0614,0.0199,-0.0415,0.0,0.0973,23.312,11.656,1.2239,-346.08,0.1327
TATA,AA,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2096,0.0,0.0,-0.0,0.4557,0.4557,0.0,0.1794,11.1579,5.579,0.5858,-346.08,0.6351
NBFC_X,BBB,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165,0.0,0.0,-0.0,0.1012,0.1012,0.0,0.0233,0.4248,0.3186,0.0335,-346.08,0.1245
